data,hora,pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
01/02/2017,00,619.5513,599.9329,0.254,24.494,24.214,96.826,96.214,1478.49,23.94131,23.63924,24.35744,96.57234,0.01583333,4.106918,?
01/02/2017,01,619.5574,599.8901,0,24.754,24.464,96.472,94.128,1473.536,24.00219,23.65829,24.62766,95.24924,0.5164584,4.093156,?
01/02/2017,02,619.3926,599.7466,0,24.654,23.952,94.447,91.18,1464.25,23.71903,22.49048,24.18502,92.34437,0.228125,4.06736,?
01/02/2017,03,600.8608,599.7375,0,23.993,23.572,95.46,91.867,1410.459,23.09885,22.50435,23.84216,93.90744,0,3.917942,?
01/02/2017,04,600.4976,600.1832,0,23.792,23.392,97.359,95.436,1371.359,23.14478,22.76277,23.54463,96.48438,0,3.80933,?
01/02/2017,05,600.467,599.826,0,23.622,23.312,98.277,97.35,1349.009,23.28298,22.93493,23.40505,97.9081,0.01152778,3.747248,?
01/02/2017,06,600.1282,599.8107,0,23.912,23.632,97.82,95.176,1385.925,23.36432,23.05162,23.78294,96.59721,0.007361111,3.849791,?
01/02/2017,07,600.8975,599.7344,0,24.424,23.903,95.23,93.025,1444.166,23.29869,23.07886,24.14396,94.16627,0.0225,4.011571,?
01/02/2017,08,618.9316,599.7497,0,25.626,24.362,93.109,86.554,1683.145,23.53563,22.93957,24.84287,90.40189,0.8083333,4.675404,?
01/02/2017,09,619.1331,599.6978,0,26.568,25.396,86.914,79.1,2016.042,23.40967,22.4852,26.09037,82.7552,1.734793,5.600116,?
01/02/2017,10,619.1728,599.7344,0,27.81,26.607,79.718,72.14,2154.378,23.30993,22.17801,27.37757,75.43269,1.486597,5.984383,?
01/02/2017,11,619.7497,599.7344,0,29.541,27.579,72.878,66.488,2532.921,23.04484,22.02686,28.72607,69.16381,1.411389,7.035892,?
01/02/2017,12,619.9573,599.7222,0,30.84,29.16,68.039,57.941,2497.564,22.90199,21.29264,29.88292,62.55668,1.968889,6.937679,?
01/02/2017,13,620.1771,599.765,0,32.226,30.34,59.911,52.629,2619.852,22.33635,20.98647,31.26755,56.58834,1.9575,7.277368,?
01/02/2017,14,620.2686,599.7222,0,32.808,31.26,57.1,50.351,2133.013,22.82809,20.75943,31.9238,53.86086,1.456389,5.925036,?
01/02/2017,15,620.3144,599.8657,0,35.195,31.7,53.924,42.826,3024.771,22.4059,20.319,33.76735,48.3148,1.727084,8.402141,?
01/02/2017,16,620.2625,599.7222,0,34.806,33.636,45.988,41.433,1879.31,21.09876,18.90853,34.12356,43.26298,2.064514,5.220306,?
01/02/2017,17,600.9463,599.7283,0,34.365,33.337,45.396,41.616,1690.067,20.62369,19.05236,33.78838,43.79284,2.332917,4.69463,?
01/02/2017,18,620.3724,599.7619,0,33.667,31.499,51.843,44.464,1497.11,20.54039,19.71828,32.58725,48.11691,2.315625,4.158638,?
01/02/2017,19,620.0947,599.7497,0,31.499,29.38,59.908,51.802,1442.958,20.8976,19.97827,30.1612,55.77972,1.803194,4.008216,?
01/02/2017,20,620.0977,599.7405,0,29.63,27.888,64.925,57.417,1469.198,20.79347,20.27025,28.52523,61.53061,1.108264,4.081106,?
01/02/2017,21,619.9786,599.7375,0,28.76,27.669,67.348,60.669,1513.872,21.11704,20.36586,28.19268,63.96786,2.163125,4.205199,?
01/02/2017,22,620.3144,599.6948,0,27.708,26.598,74.443,67.275,1550.262,21.7153,21.04041,27.07538,70.97234,1.566111,4.306282,?
01/02/2017,23,619.6978,599.7802,0,26.628,25.836,81.148,74.355,1583.722,22.48644,21.69225,26.28947,77.67128,1.620695,4.399227,?
