codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel, vento_rajada,radiacao,precipitacao
A305,01/02/2017,18,29.8,31.2,29.7,65,65,60,22.4,23.3,22.0,1007.3,1007.5,1007.3,4.4,89,9.9,1832.,0.0
A305,01/02/2017,15,30.7,31.0,28.9,64,70,63,23.1,23.9,22.2,1008.9,1009.7,1008.9,3.4,117,7.0,2189.,0.0
A305,01/02/2017,16,30.5,31.2,30.0,64,66,61,23.0,23.7,22.2,1008.3,1009.0,1008.3,4.6,114,9.0,2942.,0.0
A305,01/02/2017,04,25.4,25.8,25.3,83,83,82,22.3,22.5,22.2,1007.4,1008.1,1007.4,0.1,174,2.3,-3.54,0.0
A305,01/02/2017,17,30.4,31.3,29.9,62,67,62,22.4,23.9,22.1,1007.4,1008.3,1007.4,3.6,103,8.7,2174.,0.0
A305,01/02/2017,00,27.5,27.5,27.1,76,79,76,22.8,23.3,22.7,1009.6,1009.6,1009.3,3.2,94,7.8,-3.26,0.0
A305,01/02/2017,03,25.8,26.4,25.8,82,82,79,22.5,22.5,22.3,1008.1,1009.0,1008.1,0.8,123,4.6,-3.51,0.0
A305,01/02/2017,05,24.7,25.4,24.7,86,86,83,22.3,22.4,22.2,1007.1,1007.4,1007.0,0.2,166,1.4,-3.52,0.0
A305,01/02/2017,10,26.3,26.3,25.1,83,86,83,23.2,23.2,22.6,1009.2,1009.2,1008.4,0.8,128,2.6,133.1,0.0
A305,01/02/2017,06,24.5,24.8,24.4,88,88,86,22.4,22.5,22.2,1007.3,1007.3,1007.0,0.2,150,1.6,-3.33,0.0
A305,01/02/2017,07,24.7,24.7,24.5,88,88,88,22.6,22.6,22.4,1007.5,1007.5,1007.3,0.1,190,1.1,-1.56,0.0
A305,01/02/2017,22,27.7,28.0,27.7,76,76,75,23.2,23.2,23.0,1007.6,1007.6,1007.2,2.6,80,6.7,-1.60,0.0
A305,01/02/2017,01,27.1,27.5,27.1,78,78,76,23.0,23.2,22.8,1009.3,1009.6,1009.3,2.7,89,8.9,-2.50,0.0
A305,01/02/2017,21,28.0,28.7,28.0,75,75,70,23.1,23.1,22.6,1007.2,1007.2,1007.1,2.0,81,7.0,225.2,0.0
A305,01/02/2017,11,27.3,27.4,26.1,78,84,78,23.1,23.5,23.0,1009.7,1009.7,1009.2,2.0,116,4.6,348.5,0.0
A305,01/02/2017,20,28.6,29.5,28.6,70,70,66,22.7,22.8,22.0,1007.1,1007.1,1007.0,3.8,98,9.3,543.8,0.0
A305,01/02/2017,09,25.2,26.1,25.2,86,86,82,22.6,23.1,22.4,1008.4,1008.4,1007.8,0.0,180,4.8,3.346,0.0
A305,01/02/2017,12,28.9,29.4,27.4,71,78,70,23.2,24.2,23.1,1009.9,1009.9,1009.7,2.9,117,6.3,1109.,0.2
A305,01/02/2017,23,27.5,27.7,27.5,78,78,76,23.4,23.4,23.2,1008.1,1008.2,1007.6,2.9,85,6.8,-3.54,0.0
A305,01/02/2017,13,28.6,29.0,26.6,73,85,71,23.3,24.9,23.0,1009.9,1010.1,1009.9,2.3,164,6.3,1348.,0.4
A305,01/02/2017,02,26.4,27.1,26.4,79,79,78,22.4,22.9,22.3,1009.0,1009.3,1009.0,1.4,111,7.5,-2.16,0.0
A305,01/02/2017,08,26.0,26.0,24.7,84,88,84,23.1,23.2,22.6,1007.8,1007.9,1007.5,1.7,98,4.8,-1.10,0.0
A305,01/02/2017,19,29.5,30.5,29.4,67,67,61,22.6,23.0,21.7,1007.0,1007.3,1007.0,2.8,102,8.0,1124.,0.0
A305,01/02/2017,14,29.7,29.8,27.5,69,80,68,23.3,24.4,23.0,1009.7,1010.0,1009.6,2.1,74,5.4,1544.,0.0

